ProductID,ProductName,ProductGroupID,Description,Price,Cost,SKU,Manufacturer,StockQuantity,WarrantyPeriod
1,Smartphone 26,368,High quality,734.71,421.47,SKU0069,BrandC,193,3 year(s)
2,Laptop 95,267,Best seller,527.1,419.33,SKU0369,BrandB,516,2 year(s)
3,Keyboard 62,434,High quality,1093.79,708.08,SKU0211,BrandC,323,3 year(s)
4,Speaker 72,227,Affordable,650.92,411.71,SKU0127,BrandE,478,2 year(s)
5,Smartphone 26,462,Best seller,932.71,578.47,SKU0180,BrandD,828,3 year(s)
6,Tablet 20,337,Affordable,1294.36,922.03,SKU0464,BrandD,474,2 year(s)
7,Camera 41,431,Best seller,758.57,487.19,SKU0487,BrandA,18,3 year(s)
8,Speaker 96,87,Latest model,1236.11,647.06,SKU0427,BrandB,381,2 year(s)
9,Laptop 94,166,Top rated,726.07,515.66,SKU0145,BrandE,535,3 year(s)
10,Smartphone 69,357,Affordable,745.84,554.22,SKU0375,BrandE,752,1 year(s)
11,Monitor 97,103,Latest model,1329.45,1044.77,SKU0032,BrandE,330,1 year(s)
12,Monitor 29,284,Top rated,87.13,45.22,SKU0364,BrandE,540,3 year(s)
13,Keyboard 23,466,Affordable,529.44,377.52,SKU0229,BrandB,130,3 year(s)
14,Tablet 84,312,High quality,1420.59,898.97,SKU0286,BrandC,740,3 year(s)
15,Laptop 70,456,Best seller,1402.0,1028.29,SKU0388,BrandD,117,1 year(s)
16,Tablet 52,393,Best seller,233.84,135.59,SKU0200,BrandB,850,2 year(s)
17,Speaker 54,277,Affordable,1435.67,777.47,SKU0264,BrandA,715,3 year(s)
18,Mouse 19,300,Best seller,1373.6,1048.66,SKU0239,BrandD,379,3 year(s)
19,Headphones 7,101,High quality,1010.84,635.38,SKU0353,BrandA,691,1 year(s)
20,Laptop 85,457,High quality,401.59,241.96,SKU0120,BrandE,949,3 year(s)
21,Speaker 100,139,Top rated,363.09,187.61,SKU0117,BrandE,715,2 year(s)
22,Keyboard 21,373,Top rated,1101.21,651.44,SKU0284,BrandE,922,3 year(s)
23,Camera 86,343,Top rated,395.09,253.25,SKU0262,BrandC,225,3 year(s)
24,Mouse 71,235,High quality,187.71,127.74,SKU0494,BrandA,875,1 year(s)
25,Headphones 34,219,High quality,277.6,192.66,SKU0430,BrandC,109,3 year(s)
26,Smartwatch 37,41,High quality,733.42,400.41,SKU0070,BrandC,230,2 year(s)
27,Keyboard 53,224,Top rated,1286.98,822.78,SKU0262,BrandC,241,1 year(s)
28,Monitor 94,7,Best seller,1276.62,956.52,SKU0135,BrandC,241,1 year(s)
29,Tablet 67,142,Top rated,467.1,350.68,SKU0003,BrandA,108,3 year(s)
30,Smartwatch 21,118,Top rated,892.94,544.99,SKU0476,BrandA,798,2 year(s)
31,Headphones 91,175,Best seller,214.82,157.33,SKU0393,BrandB,217,1 year(s)
32,Keyboard 52,485,Latest model,984.41,595.01,SKU0097,BrandD,52,1 year(s)
33,Smartphone 67,243,Best seller,609.28,404.38,SKU0113,BrandB,75,2 year(s)
34,Monitor 32,317,Affordable,747.86,440.81,SKU0319,BrandA,760,3 year(s)
35,Tablet 2,486,Best seller,614.18,356.47,SKU0194,BrandC,132,2 year(s)
36,Smartphone 8,250,Best seller,1482.57,831.51,SKU0463,BrandD,734,1 year(s)
37,Headphones 26,247,Top rated,835.03,424.92,SKU0389,BrandC,629,3 year(s)
38,Smartwatch 69,477,Best seller,511.77,355.84,SKU0396,BrandB,424,2 year(s)
39,Tablet 10,378,Top rated,1341.37,993.93,SKU0132,BrandC,632,3 year(s)
40,Keyboard 78,197,Latest model,481.03,248.44,SKU0409,BrandE,824,1 year(s)
41,Headphones 71,23,Top rated,285.89,163.09,SKU0262,BrandB,601,3 year(s)
42,Camera 56,154,Latest model,345.47,190.72,SKU0389,BrandC,858,3 year(s)
